Frequency (Hz)	Level (dB)
0.125000	-31.869221
0.250000	-55.656479
0.375000	-51.097141
0.500000	-44.916950
0.625000	-40.342789
0.750000	-37.297150
0.875000	-32.847271
1.000000	-31.468285
1.125000	-28.500256
1.250000	-27.501783
1.375000	-26.900324
1.500000	-26.236139
1.625000	-27.526075
1.750000	-27.719963
1.875000	-27.802544
2.000000	-27.412222
2.125000	-25.000025
2.250000	-24.501938
2.375000	-24.282948
2.500000	-24.727203
2.625000	-26.045017
2.750000	-25.952024
2.875000	-24.148037
3.000000	-24.335300
3.125000	-23.263113
3.250000	-24.995361
3.375000	-25.650900
3.500000	-24.239689
3.625000	-24.167444
3.750000	-23.305042
3.875000	-24.548182
4.000000	-25.414660
4.125000	-24.352583
4.250000	-23.708202
4.375000	-23.934048
4.500000	-24.687380
4.625000	-25.110552
4.750000	-24.353117
4.875000	-23.500711
5.000000	-24.795500
5.125000	-25.204622
5.250000	-24.315727
5.375000	-24.399281
5.500000	-24.053926
5.625000	-25.340250
5.750000	-25.226175
5.875000	-23.709789
6.000000	-24.988268
6.125000	-25.313704
6.250000	-24.712538
6.375000	-24.920647
6.500000	-24.387999
6.625000	-25.603374
6.750000	-25.508776
6.875000	-24.085327
7.000000	-25.458376
7.125000	-25.673903
7.250000	-24.711983
7.375000	-25.276686
7.500000	-25.308615
7.625000	-25.716208
7.750000	-25.366861
7.875000	-24.847137
8.000000	-26.101315
8.125000	-25.735229
8.250000	-25.022831
8.375000	-25.933325
8.500000	-26.022543
8.625000	-25.579279
8.750000	-25.519424
8.875000	-26.084417
9.000000	-26.277514
9.125000	-25.244471
9.250000	-26.090908
9.375000	-26.697210
9.500000	-25.280642
9.625000	-26.355436
9.750000	-26.735857
9.875000	-25.579756
10.000000	-26.515530
10.125000	-26.388123
10.250000	-25.981853
10.375000	-26.624260
10.500000	-26.148632
10.625000	-26.459797
10.750000	-26.698412
10.875000	-26.069937
11.000000	-26.987129
11.125000	-26.595211
11.250000	-26.342453
11.375000	-27.256704
11.500000	-26.482700
11.625000	-26.664545
11.750000	-27.163546
11.875000	-26.446314
12.000000	-27.090050
12.125000	-27.073992
12.250000	-26.631487
12.375000	-27.391014
12.500000	-26.898458
12.625000	-26.865606
12.750000	-27.303787
12.875000	-26.876217
13.000000	-27.325100
13.125000	-27.084946
13.250000	-27.242079
13.375000	-27.804291
13.500000	-26.781199
13.625000	-27.613113
13.750000	-28.013351
13.875000	-26.585064
14.000000	-27.793682
14.125000	-28.057007
14.250000	-26.688766
14.375000	-28.046169
14.500000	-27.900486
14.625000	-27.114298
14.750000	-28.003891
14.875000	-27.680233
15.000000	-27.701494
15.125000	-27.818556
15.250000	-27.425108
15.375000	-28.177374
15.500000	-27.846846
15.625000	-27.502384
15.750000	-28.315346
15.875000	-28.021898
16.000000	-27.830406
16.125000	-28.019545
16.250000	-28.066689
16.375000	-28.267727
16.500000	-27.694704
16.625000	-28.177778
16.750000	-28.711119
16.875000	-27.731218
17.000000	-28.350721
17.125000	-28.562208
17.250000	-28.008722
17.375000	-28.442432
17.500000	-28.072741
17.625000	-28.427704
17.750000	-28.887577
17.875000	-27.804037
18.000000	-28.701380
18.125000	-29.047596
18.250000	-27.854259
18.375000	-28.792646
18.500000	-28.613836
18.625000	-28.415474
18.750000	-29.022243
18.875000	-28.110146
19.000000	-28.940203
19.125000	-29.272409
19.250000	-27.944433
19.375000	-29.126188
19.500000	-29.124197
19.625000	-28.339064
19.750000	-29.157892
19.875000	-28.492527
20.000000	-28.988016
20.125000	-29.452280
20.250000	-28.164150
